tab,io_id,name,path_or_pattern,format,storage_scope,model_layer,direction,producer,consumer,required,generated_or_manual,owner_team,lifecycle,schema_or_key_columns,units,temporal_resolution,spatial_resolution,sector_technology_resolution,source_or_provenance,placeholder_status,validation_rules,interpretation_notes,quality_caveats,used_by_code,related_artifacts,example_values,update_frequency,expert_action_required
Inputs,IN-011,AC demand scenario override,Calliope-Africa-main/new_demand_AC.yaml,YAML,repo_static,Energy model,input,Energy model team,Calliope imported scenarios/overrides,Conditional on selected override imports,Manual/model-source file,Energy modeling,Versioned scenario source,Calliope override keys for demand assumptions,Calliope-native demand units,model time horizon or profile subset,Calliope locations,demand technology/carrier entries,Calliope-Africa model source,Unknown; should be reviewed as scenario assumption,Must parse as YAML and match Calliope schema,Represents alternative demand assumptions used by scenarios.,"If demand scenario is not linked to selected override, it has no effect.",Calliope model imports and overrides,IN-010; OUT-008,Demand_power resource adjustments,When demand assumptions change,Energy expert should document demand source and calibration year.
Inputs,IN-012,STEPS demand scenario override,Calliope-Africa-main/new_demand_STEPS.yaml,YAML,repo_static,Energy model,input,Energy model team,Calliope imported scenarios/overrides,Conditional on selected override imports,Manual/model-source file,Energy modeling,Versioned scenario source,Calliope override keys for STEPS demand assumptions,Calliope-native demand units,model time horizon or profile subset,Calliope locations,demand technology/carrier entries,Calliope-Africa model source,Unknown; should be reviewed as scenario assumption,Must parse as YAML and match Calliope schema,"Represents a separate demand scenario, likely aligned to an external STEPS-style pathway.",Needs provenance if used for policy comparison.,Calliope model imports and overrides,IN-010; OUT-008,STEPS demand profile references,When demand assumptions change,Energy expert should provide source citation and scenario definition.
Inputs,IN-013,New generation location override,Calliope-Africa-main/new_gen_loc.yaml,YAML,repo_static,Energy model,input,Energy model team,Calliope imported scenarios/overrides,Conditional on selected override imports,Manual/model-source file,Energy modeling,Versioned scenario source,Calliope location/technology deployment constraints,Calliope-native capacity/resource units,model horizon or scenario-specific,Calliope locations/subregions,generation technologies,Calliope-Africa model source,Unknown; should be reviewed,Must reference valid locations and techs,Controls where new generation can be built or represented.,Spatial assumptions here can drive map outputs and regional impacts.,Calliope model imports and overrides,IN-010; OUT-008; OUT-030,locations.<loc>.techs.<tech> constraints,When siting assumptions change,Energy/GIS expert should verify spatial granularity and centroid mapping.
Inputs,IN-014,New generation scenario override,Calliope-Africa-main/new_generation.yaml,YAML,repo_static,Energy model,input,Energy model team,Calliope imported scenarios/overrides,Conditional on selected override imports,Manual/model-source file,Energy modeling,Versioned scenario source,Calliope tech build/cost/resource constraints,"Calliope-native capacity, cost, resource units",model horizon or scenario-specific,Calliope locations,generation technologies,Calliope-Africa model source,Unknown; should be reviewed,Must parse and reference valid tech/location/carrier names,Controls generation expansion assumptions in energy scenarios.,May overlap conceptually with MRIO-direct renewable assumptions; headline overlap policy defaults to bridge for now.,Calliope model imports and overrides,OUT-008; OUT-011; OUT-012,"PV, wind, hydro, thermal constraints",When technology assumptions change,Energy expert should check costs/capacity constraints against current data.
Inputs,IN-015,New transmission links scenario override,Calliope-Africa-main/new_transmission_links.yaml,YAML,repo_static,Energy model,input,Energy model team,Calliope imported scenarios/overrides,Conditional on selected override imports,Manual/model-source file,Energy modeling,Versioned scenario source,Calliope transmission link definitions and constraints,Calliope-native transmission capacity/cost units,model horizon or scenario-specific,links between Calliope locations/pools,transmission technologies,Calliope-Africa model source,Unknown; should be reviewed,Link endpoints and tech names must exist,Controls network expansion/new interconnection scenario behavior.,Important for regional trade and reliability diagnostics; errors can create misleading pool-level outputs.,Calliope model imports and overrides,OUT-008; OUT-014,new_links scenario,When transmission scenarios change,Energy/transmission expert should verify line capacities/costs and endpoints.
Inputs,IN-016,Policy scenario override,Calliope-Africa-main/policy.yaml,YAML,repo_static,Energy model,input,Energy model team,Calliope imported scenarios/overrides,Conditional on selected override imports,Manual/model-source file,Energy modeling,Versioned scenario source,policy constraint overrides; costs; emissions; resource limits as defined in YAML,Calliope-native units,scenario-level,Calliope locations/pools depending on policy,affected technologies/sectors,Calliope-Africa model source,Unknown; should be reviewed,Must parse and match Calliope schema,Encodes energy-system policy assumptions.,Policy effects may overlap with MRIO-direct scenario narrative; keep provenance explicit.,Calliope model imports and overrides,OUT-008; OUT-009,carbon or capacity policy constraints,When policy assumptions change,Policy/energy expert should define policy counterfactual and baseline clearly.
Inputs,IN-017,Power-pool location constraints,"Calliope-Africa-main/{CAPP,EAPP,NAPP,SAPP,WAPP}/Location_Constraints_*.yaml",YAML,repo_static,Energy model geography,input,Energy model team,Calliope model imports,Yes,Manual/model-source files,Energy modeling + GIS,Versioned model source,locations.<country/subregion>.tech constraints; resource/capacity/cost constraints,Calliope-native units,model horizon and time series references,country/pool/subnational Calliope locations,technologies available at each location,Calliope-Africa model source,Unknown; should be reviewed,Location keys must align with mapping and time series; YAML must parse,Defines spatial resolution and technology feasibility for each African power pool.,"Any mismatch here affects geographic filtering, Voronoi subregion mapping, and MRIO alignment.",Calliope import collector in runner,IN-008; IN-009; OUT-004; OUT-030,SAPP/Location_Constraints_SAPP.yaml,When spatial model topology changes,Energy/GIS experts should maintain one authoritative location dictionary.
Inputs,IN-018,Power-pool transmission links,"Calliope-Africa-main/{CAPP,EAPP,NAPP,SAPP,WAPP}/Transmission_links_*.yaml",YAML,repo_static,Energy model network,input,Energy model team,Calliope model imports,Yes,Manual/model-source files,Energy modeling,Versioned model source,transmission techs and location pairs; capacities; costs; efficiencies,Calliope-native transmission units,model horizon and operational timesteps,inter-location links by pool,transmission technologies,Calliope-Africa model source,Unknown; should be reviewed,Link endpoints must resolve to locations; parameters must match Calliope schema,Defines existing or candidate transmission topology.,Network assumptions drive trade_matrix diagnostics and can dominate regional results.,Calliope import collector in runner,OUT-014; OUT-017,EAPP/Transmission_links_EAPP.yaml,When grid topology changes,Transmission expert should verify with latest interconnector data.
Inputs,IN-019,Generation technology library,Calliope-Africa-main/Technologies/Technologies_Generation.yaml,YAML,repo_static,Energy model technology,input,Energy model team,Calliope model imports; tech-sector bridge mapping validation,Yes,Manual/model-source file,Energy modeling,Versioned model source,techs.<tech>.essentials/constraints/costs; carrier definitions,"Calliope-native capacity, efficiency, cost, emissions units",model horizon with time-varying resources where linked,applies across locations where enabled,generation technologies,Calliope-Africa model source,Unknown; should be expert-calibrated,Technology names should be covered by calliope_tech_to_mario_sector.csv and lever_mappings.csv,Defines physical and economic behavior of generation technologies.,Stale tech names break mapping coverage and development impact attribution.,backend/api_service/runner.py; Calliope,IN-006; IN-027; OUT-011; OUT-012,PV; Wind; Coal; Gas; Hydro,When tech assumptions change,Energy expert should update bridge mapping and lever mapping simultaneously.
Inputs,IN-020,Transmission and demand technology library,Calliope-Africa-main/Technologies/Technologies_Transmission_and_Demand.yaml,YAML,repo_static,Energy model technology,input,Energy model team,Calliope model imports; tech-sector bridge mapping validation,Yes,Manual/model-source file,Energy modeling,Versioned model source,transmission and demand tech definitions; constraints; costs,Calliope-native demand/transmission/cost units,model horizon/time-slice,locations/links where enabled,transmission and demand technologies,Calliope-Africa model source,Unknown; should be expert-calibrated,Technology names should be covered where development bridge expects them,Defines demand and grid technology behavior.,Demand technology naming is important for demand_multiplier application.,backend/api_service/runner.py; Calliope,IN-006; OUT-008; OUT-013,Demand_power; transmission techs,When tech assumptions change,Energy expert should validate demand resource selectors and transmission cost mappings.
Inputs,IN-021,Demand time series,Calliope-Africa-main/Timeseries/Demand_*.csv,CSV time series,repo_static,Energy model time series,input,Energy data team,Calliope model,Yes,Manual/external data extract,Energy modeling,Static or periodically refreshed,timestamp/index plus demand columns as expected by Calliope resource references,"electricity demand, Calliope-native units",hourly or model-native timestep; dev/analysis may subset,per location or demand profile depending file structure,Demand_power / demand carriers,External demand dataset embedded in model files,Unknown; should cite source and base year,Must align with Calliope resource file references and time index,Primary electricity demand driver. Runtime demand_multiplier scales Demand_power resource profiles after model build.,"Bad demand data propagates into all energy, emissions, cost, and development outputs.",Calliope model; runner demand multiplier,OUT-008; OUT-009; OUT-013,Demand_2030.csv-like files,When demand forecasts/base years change,Energy demand expert should verify forecast methodology and load shape.
Inputs,IN-022,Solar resource time series,Calliope-Africa-main/Timeseries/Solar_*.csv,CSV time series,repo_static,Energy model resource,input,Energy resource data team,Calliope model,Yes for solar techs,Manual/external data extract,Energy modeling,Static or periodically refreshed,timestamp/index plus solar resource columns expected by model,"capacity factor or resource availability, Calliope-native",hourly/model-native timestep,per location/profile,solar technologies,External resource dataset embedded in model files,Unknown; should cite source,Must align with resource references and time index,Constrains solar generation availability.,Resource data quality strongly affects optimal capacity and regional allocation.,Calliope model,OUT-011; OUT-012; OUT-030,Solar_resource profiles,When resource datasets update,"Energy resource expert should document source, year, bias correction, and spatial aggregation."
Inputs,IN-023,Wind resource time series,Calliope-Africa-main/Timeseries/Wind_*.csv,CSV time series,repo_static,Energy model resource,input,Energy resource data team,Calliope model,Yes for wind techs,Manual/external data extract,Energy modeling,Static or periodically refreshed,timestamp/index plus wind resource columns expected by model,"capacity factor or resource availability, Calliope-native",hourly/model-native timestep,per location/profile,wind technologies,External resource dataset embedded in model files,Unknown; should cite source,Must align with resource references and time index,Constrains wind generation availability.,Spatial aggregation and turbine assumptions affect regional results.,Calliope model,OUT-011; OUT-012; OUT-030,Wind_resource profiles,When resource datasets update,"Energy resource expert should document source, hub height, and spatial aggregation."
Inputs,IN-024,Hydro resource time series,Calliope-Africa-main/Timeseries/Hydro_*.csv,CSV time series,repo_static,Energy model resource,input,Energy resource data team,Calliope model,Yes for hydro techs,Manual/external data extract,Energy modeling,Static or periodically refreshed,timestamp/index plus hydro resource columns expected by model,"hydro availability/resource, Calliope-native",hourly/monthly/model-native timestep depending file,per location/basin/profile,hydro technologies,External resource dataset embedded in model files,Unknown; should cite source,Must align with resource references and time index,Constrains hydro generation availability and seasonality.,Hydrological assumptions can dominate reliability and emissions outcomes.,Calliope model,OUT-011; OUT-012; OUT-013,Hydro inflow/resource profiles,When hydrology updates,Hydro/resource expert should validate historical year and climate assumptions.
Inputs,IN-025,New PV candidate profile,Calliope-Africa-main/Timeseries/PV_New.csv,CSV time series,repo_static,Energy model resource,input,Energy resource data team,Calliope model,Conditional on PV_New references,Manual/external data extract,Energy modeling,Static or periodically refreshed,timestamp/index plus PV candidate resource profiles,capacity factor/resource availability,hourly/model-native timestep,new PV candidate locations/profiles,PV technologies,External resource dataset embedded in model files,Unknown; should cite source,Must align with model references,Supports new PV generation candidate behavior.,"If generic profile is overused, subnational PV differences may be understated.",Calliope model,OUT-011; OUT-012,PV_New.csv,When PV resource data updates,Resource expert should verify spatial representativeness.
Inputs,IN-026,New CSP candidate profile,Calliope-Africa-main/Timeseries/CSP_New.csv,CSV time series,repo_static,Energy model resource,input,Energy resource data team,Calliope model,Conditional on CSP references,Manual/external data extract,Energy modeling,Static or periodically refreshed,timestamp/index plus CSP candidate resource profiles,capacity factor/resource availability,hourly/model-native timestep,new CSP candidate locations/profiles,CSP technologies,External resource dataset embedded in model files,Unknown; should cite source,Must align with model references,Supports new CSP candidate generation behavior.,CSP resource and storage assumptions need explicit documentation.,Calliope model,OUT-011; OUT-012,CSP_New.csv,When CSP resource data updates,Resource expert should verify DNI and thermal storage assumptions.
Inputs,IN-027,Calliope tech to MARIO sector mapping,inputs/mario_inputs/calliope_tech_to_mario_sector.csv,CSV,repo_static,Bridge and development/MRIO,input,Energy + MRIO team,runner bridge builder and mapping quality validator,Yes,Manual expert-owned mapping,Energy/MRIO experts,Static mapping updated with technologies/sectors,calliope_tech; carrier; tech_group; mario_sector; shock_channel; default_currency; notes,"currency metadata, mostly labels",scenario/run-level mapping,technology rows may later map to MARIO regions through shocks,Calliope tech to MARIO sector,Curated bridge mapping,Can contain fallback or placeholder rows depending notes/source; strict quality checks count missing techs,Every required Calliope tech should map; shock_channel should be recognized; missing techs become fallback warnings/errors under strict validation,Determines supplier-sector attribution for investment and operating shocks.,Incomplete mapping directly distorts jobs/GVA by supplier sector.,backend/api_service/runner.py,OUT-011; OUT-012; OUT-017; OUT-018,calliope_tech=PV; mario_sector=Electrical_equipment,Whenever Calliope tech library or MRIO sector taxonomy changes,MRIO expert should align sectors to actual MARIO database taxonomy.
Inputs,IN-028,Calliope cost to MARIO account mapping,inputs/mario_inputs/calliope_cost_to_mario_account.csv,CSV,repo_static,Bridge and development/MRIO,input,Energy + MRIO team,runner bridge builder,Yes,Manual expert-owned mapping,Energy/MRIO experts,Static mapping updated with cost classes,calliope_cost_class; calliope_component; mario_account; mario_flow_type; sign_convention; notes,cost account labels and sign conventions,scenario/run-level mapping,global/account-level unless paired with location shock rows,cost components by technology,Curated bridge mapping,"Should be expert-owned, not placeholder",Cost classes/components must match summary_diagnostics cost decomposition,Maps energy model costs into MRIO accounts and flow types.,Wrong sign conventions invert development impact shocks.,backend/api_service/runner.py,OUT-012; OUT-013; OUT-015,investment -> final demand/capex account,When cost decomposition changes,MRIO/accounting expert should verify sign and account semantics.
Inputs,IN-029,CAPEX sector split table,inputs/mario_inputs/capex_sector_split.csv,CSV,repo_static,Bridge and development/MRIO,input,MRIO/development economics team,runner bridge builder and strict validation,Yes,Manual expert-owned mapping,MRIO/development experts,Static calibration table,calliope_tech; mario_region; mario_sector; share; notes; tech_group,"share, dimensionless; region/sector codes",scenario/run-level,MARIO region; may be global/fallback by row design,Calliope tech to one or more supplier sectors,Expert allocation assumptions,Potential placeholder unless fully calibrated,Shares should sum to 1 by calliope_tech/mario_region group where applicable; invalid groups are strict-validation issues,Allocates capital spending across supplier sectors for investment shocks.,Bad splits distort sectoral jobs/GVA and regional import leakage.,backend/api_service/runner.py,OUT-012; OUT-017; OUT-018,"PV, ZAF, Electrical_equipment, 0.35",When procurement/supply chain assumptions change,MRIO expert should replace proxy splits with empirically grounded sector shares.
Inputs,IN-030,OPEX sector split table,inputs/mario_inputs/opex_sector_split.csv,CSV,repo_static,Bridge and development/MRIO,input,MRIO/development economics team,runner bridge builder and strict validation,Yes,Manual expert-owned mapping,MRIO/development experts,Static calibration table,calliope_tech; mario_region; mario_sector; opex_type; share; notes; tech_group,"share, dimensionless",scenario/run-level,MARIO region,Calliope tech and OPEX type to supplier sectors,Expert allocation assumptions,Potential placeholder unless fully calibrated,Shares should sum to 1 by calliope_tech/mario_region/opex_type group where applicable,Allocates fixed/variable operating spend across supplier sectors.,Bad splits distort ongoing operational impact estimates.,backend/api_service/runner.py,OUT-013; OUT-017; OUT-018,"Wind, ZAF, Maintenance_services, fixed_om, 0.25",When O&M assumptions change,MRIO expert should validate against O&M cost structures and local content assumptions.
Inputs,IN-031,Country to pool/MARIO region mapping,inputs/mario_inputs/country_to_pool.csv,CSV,repo_static,Bridge geography,input,GIS + MRIO team,runner bridge builder,Yes,Manual mapping table,GIS/MRIO experts,Static mapping updated with geography changes,calliope_location; power_pool; mario_region; notes,codes and text,scenario/run-level,Calliope location to power pool and MARIO region,not sector-specific,Curated alignment table,Not placeholder if reviewed,Every exchange shock location should resolve to a MARIO region; missing rows can produce UNKNOWN/fallback regions,Maps Calliope locations to regions for bridge shock attribution.,Earlier UNKNOWN-region issues come from this class of mapping gap; maintain carefully.,backend/api_service/runner.py,OUT-011 to OUT-017; OUT-030,ZAF -> SAPP -> ZAF,When Calliope locations or MARIO regions change,GIS/MRIO experts should validate all locations and no UNKNOWN rows remain.
Inputs,IN-032,Employment intensity table,inputs/mario_inputs/employment_intensity.csv,CSV,repo_static expert-owned,Development/MRIO,input,MRIO/development economics team,mario_runtime.run_mario_io_runtime,Yes for meaningful jobs outputs,Manual expert-owned calibration,MRIO/development experts,"Static calibration table, should cite source year",mario_region; mario_sector; jobs_per_musd_direct; jobs_per_musd_total; reference_year; source; notes,jobs per million USD output/shock,reference_year plus run target year assumption,MARIO region and fallback/global means,MARIO supplier sectors,Expert calibration or placeholder estimates,Strict-blocking if placeholder rows and allow_placeholder_data=false,Numeric intensities required; jobs_total should be >= jobs_direct; placeholder source/notes detected,Converts monetary shocks into direct and total jobs estimates.,This is a high-sensitivity dataset; proxy values can create suspiciously uniform regional jobs outputs.,backend/api_service/mario_runtime.py,OUT-018; OUT-019; OUT-036,jobs_per_musd_direct=4.2; jobs_per_musd_total=8.5,When labor intensity sources update,Development economist should calibrate by region/sector and document source/method.
Inputs,IN-033,Value-added intensity table,inputs/mario_inputs/value_added_intensity.csv,CSV,repo_static expert-owned,Development/MRIO,input,MRIO/development economics team,mario_runtime.run_mario_io_runtime,Yes for meaningful GVA/income outputs,Manual expert-owned calibration,MRIO/development experts,"Static calibration table, should cite source year",mario_region; mario_sector; gva_per_musd_output; household_income_per_musd_output; reference_year; source; notes,million USD GVA or household income per million USD output,reference_year plus run target year assumption,MARIO region and fallback/global means,MARIO supplier sectors,Expert calibration or placeholder estimates,Strict-blocking if placeholder rows and allow_placeholder_data=false,Numeric intensities required; placeholders detected by source/notes,Converts monetary shocks into GVA and household income proxy estimates.,Proxy values can overstate local benefits if import leakage is not represented.,backend/api_service/mario_runtime.py,OUT-018; OUT-019; OUT-036,gva_per_musd_output=0.42,When IO/value-added data updates,MRIO expert should calibrate by latest database and inflation/currency basis.
