mario_region,mario_sector,gva_per_musd_output,household_income_per_musd_output,reference_year,source,notes
Central_Africa,Construction,0.405,0.180,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Southern_Africa,Electrical_equipment,0.452,0.184,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Southern_Africa,Transmission_and_distribution,0.430,0.173,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Southern_Africa,Electricity_and_heat,0.378,0.143,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Southern_Africa,Coal_supply_chain,0.315,0.112,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Southern_Africa,Gas_supply_chain,0.304,0.112,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Southern_Africa,Oil_supply_chain,0.294,0.102,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Southern_Africa,Bioenergy_supply_chain,0.399,0.173,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
Southern_Africa,Fuel_supply_chain,0.326,0.122,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
North_Africa,Construction,0.453,0.190,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
North_Africa,Construction_of_power_assets,0.474,0.200,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
North_Africa,Electrical_equipment,0.443,0.180,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
North_Africa,Transmission_and_distribution,0.422,0.170,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
North_Africa,Electricity_and_heat,0.371,0.140,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
North_Africa,Coal_supply_chain,0.309,0.110,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
North_Africa,Gas_supply_chain,0.299,0.110,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
North_Africa,Oil_supply_chain,0.288,0.100,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
North_Africa,Bioenergy_supply_chain,0.391,0.170,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
North_Africa,Fuel_supply_chain,0.319,0.120,2019,seeded_placeholder_v1,Seeded placeholder estimate using African power-sector labor and IO ranges; replace with project-calibrated evidence.
