scenario_id,geography_code,geography_name,geography_type,scenario_code,scenario_type,label,description,target_years,renewable_share_2030,renewable_share_2030_numeric,renewable_share_2050,renewable_share_2050_numeric,fossil_delta_2030,fossil_delta_2030_numeric,net_zero_year,net_zero_year_numeric,shock_type,shock_category,parameter,target_2030,target_2050,implementation_notes,policy_sources,source_dataset
IN-S1,IN,India,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050|2070,75%,0.75,100%,1.0,-25%,-0.25,2070,2070,Full,,Shock kind in MARIO,Percentage (large),New Value = 0 (fossils),,,inputs/mario_inputs/scenario_report_scenarios.csv
IN-S2,IN,India,Country,S2,policy_target,National Policy Target,4. Brazil1 4.1 Policy Context1,2030|2050|2070,66%,0.66,~96%*,0.96,-35%,-0.35,2070,2070,Policy,Y,Non-fossil capacity,500 GW by 2030 (Panchamrit),"~1,200–1,500 GW by 2070",,,inputs/mario_inputs/scenario_report_scenarios.csv
IN-S2,IN,India,Country,S2,policy_target,National Policy Target,4. Brazil1 4.1 Policy Context1,2030|2050|2070,66%,0.66,~96%*,0.96,-35%,-0.35,2070,2070,Policy,Y,Solar capacity,364 GW by 2031-32 (NEP 2023),Dominant source by 2070,,,inputs/mario_inputs/scenario_report_scenarios.csv
IN-S2,IN,India,Country,S2,policy_target,National Policy Target,4. Brazil1 4.1 Policy Context1,2030|2050|2070,66%,0.66,~96%*,0.96,-35%,-0.35,2070,2070,Policy,Y,Wind capacity,122 GW by 2031-32 (NEP 2023),Second largest source,,,inputs/mario_inputs/scenario_report_scenarios.csv
IN-S2,IN,India,Country,S2,policy_target,National Policy Target,4. Brazil1 4.1 Policy Context1,2030|2050|2070,66%,0.66,~96%*,0.96,-35%,-0.35,2070,2070,Policy,Y,Coal share (capacity),~32% by 2031-32 (down from 59%),~4% by 2070 (LT-LEDS),,,inputs/mario_inputs/scenario_report_scenarios.csv
IN-S2,IN,India,Country,S2,policy_target,National Policy Target,4. Brazil1 4.1 Policy Context1,2030|2050|2070,66%,0.66,~96%*,0.96,-35%,-0.35,2070,2070,Policy,E,Emissions intensity (GDP),-45% by 2030 vs. 2005 (NDC),Net-zero by 2070,,,inputs/mario_inputs/scenario_report_scenarios.csv
IN-S2,IN,India,Country,S2,policy_target,National Policy Target,4. Brazil1 4.1 Policy Context1,2030|2050|2070,66%,0.66,~96%*,0.96,-35%,-0.35,2070,2070,Policy,A/Z,Coal A-matrix coefficient,Reduce by ~35% by 2030,Reduce to near-zero by 2070,,,inputs/mario_inputs/scenario_report_scenarios.csv
IN-S2,IN,India,Country,S2,policy_target,National Policy Target,4. Brazil1 4.1 Policy Context1,2030|2050|2070,66%,0.66,~96%*,0.96,-35%,-0.35,2070,2070,Policy,,Shock kind in MARIO,Percentage (moderate-large),New Value (near-zero fossils),,,inputs/mario_inputs/scenario_report_scenarios.csv
WF-S1,WF,Rest of Africa,Region,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,80%,0.8,100%,1.0,-40%,-0.4,2050,2050,Full,A/Z,Fossil electricity share,~45% → 20% by 2030,0% by 2050,,,inputs/mario_inputs/scenario_report_scenarios.csv
WF-S1,WF,Rest of Africa,Region,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,80%,0.8,100%,1.0,-40%,-0.4,2050,2050,Full,A/Z,Renewable electricity share,55% → 80% by 2030,100% by 2050,,,inputs/mario_inputs/scenario_report_scenarios.csv
WF-S1,WF,Rest of Africa,Region,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,80%,0.8,100%,1.0,-40%,-0.4,2050,2050,Full,A/Z,Coal coefficient (A-matrix),Reduce by 40%,Reduce to 0,,,inputs/mario_inputs/scenario_report_scenarios.csv
WF-S1,WF,Rest of Africa,Region,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,80%,0.8,100%,1.0,-40%,-0.4,2050,2050,Full,A/Z,Gas coefficient (A-matrix),Reduce by 35%,Reduce to 0,,,inputs/mario_inputs/scenario_report_scenarios.csv
WF-S1,WF,Rest of Africa,Region,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,80%,0.8,100%,1.0,-40%,-0.4,2050,2050,Full,,Oil/diesel generation,Reduce by 50%,Reduce to 0,,,inputs/mario_inputs/scenario_report_scenarios.csv
WF-S1,WF,Rest of Africa,Region,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,80%,0.8,100%,1.0,-40%,-0.4,2050,2050,Full,A/Z,Solar PV + Wind coefficient,+0.45 share reallocation,+1.0 (absorb all fossil),,,inputs/mario_inputs/scenario_report_scenarios.csv
WF-S1,WF,Rest of Africa,Region,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,80%,0.8,100%,1.0,-40%,-0.4,2050,2050,Full,E,CO2 emission intensity (elec.),Reduce by ~40%,Reduce to 0,,,inputs/mario_inputs/scenario_report_scenarios.csv
WF-S2,WF,Rest of Africa,Region,S2,policy_target,National Policy Target,6. Rest of Middle East (WM Region)1 6.1 Policy Context1,2030|2050|2060,80%**,0.8,85%+,0.85,-30%,-0.3,2060*,2060,Policy,Y,Renewable capacity,300 GW by 2030 (AREI/Nairobi),600+ GW by 2050 (estimated),,,inputs/mario_inputs/scenario_report_scenarios.csv
WF-S2,WF,Rest of Africa,Region,S2,policy_target,National Policy Target,6. Rest of Middle East (WM Region)1 6.1 Policy Context1,2030|2050|2060,80%**,0.8,85%+,0.85,-30%,-0.3,2060*,2060,Policy,Y,Energy access expansion,+300M people electrified by 2030,Universal access by 2040,,,inputs/mario_inputs/scenario_report_scenarios.csv
WF-S2,WF,Rest of Africa,Region,S2,policy_target,National Policy Target,6. Rest of Middle East (WM Region)1 6.1 Policy Context1,2030|2050|2060,80%**,0.8,85%+,0.85,-30%,-0.3,2060*,2060,Policy,A/Z,Renewable electricity share,80% of new additions from RE,85%+ of total generation,,,inputs/mario_inputs/scenario_report_scenarios.csv
WF-S2,WF,Rest of Africa,Region,S2,policy_target,National Policy Target,6. Rest of Middle East (WM Region)1 6.1 Policy Context1,2030|2050|2060,80%**,0.8,85%+,0.85,-30%,-0.3,2060*,2060,Policy,A/Z,Fossil share reduction,45% → 30% by 2030,15% by 2050 (gas bridge),,,inputs/mario_inputs/scenario_report_scenarios.csv
WF-S2,WF,Rest of Africa,Region,S2,policy_target,National Policy Target,6. Rest of Middle East (WM Region)1 6.1 Policy Context1,2030|2050|2060,80%**,0.8,85%+,0.85,-30%,-0.3,2060*,2060,Policy,A/Z,Renewable A-matrix coefficient,+435% capacity increase (2022-2030),Sustained expansion,,,inputs/mario_inputs/scenario_report_scenarios.csv
WF-S2,WF,Rest of Africa,Region,S2,policy_target,National Policy Target,6. Rest of Middle East (WM Region)1 6.1 Policy Context1,2030|2050|2060,80%**,0.8,85%+,0.85,-30%,-0.3,2060*,2060,Policy,Y,Final demand (Y) shock,+electricity demand from 300M new consumers,Full access demand,,,inputs/mario_inputs/scenario_report_scenarios.csv
WF-S2,WF,Rest of Africa,Region,S2,policy_target,National Policy Target,6. Rest of Middle East (WM Region)1 6.1 Policy Context1,2030|2050|2060,80%**,0.8,85%+,0.85,-30%,-0.3,2060*,2060,Policy,,Shock kind in MARIO,Percentage + demand expansion,Combined supply-demand shock,,,inputs/mario_inputs/scenario_report_scenarios.csv
WM-S1,WM,Rest of Middle East,Region,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,60%,0.6,100%,1.0,-55%,-0.55,2050,2050,Full,A/Z,Gas electricity share,~70% → 35% by 2030,0% by 2050,,,inputs/mario_inputs/scenario_report_scenarios.csv
WM-S1,WM,Rest of Middle East,Region,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,60%,0.6,100%,1.0,-55%,-0.55,2050,2050,Full,A/Z,Oil electricity share,~20% → 5% by 2030,0% by 2050,,,inputs/mario_inputs/scenario_report_scenarios.csv
WM-S1,WM,Rest of Middle East,Region,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,60%,0.6,100%,1.0,-55%,-0.55,2050,2050,Full,A/Z,Solar PV coefficient,+55% reallocation by 2030,Absorbs 80% of total mix,,,inputs/mario_inputs/scenario_report_scenarios.csv
WM-S1,WM,Rest of Middle East,Region,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,60%,0.6,100%,1.0,-55%,-0.55,2050,2050,Full,A/Z,Wind coefficient,+15% reallocation by 2030,Absorbs 20% of total mix,,,inputs/mario_inputs/scenario_report_scenarios.csv
WM-S1,WM,Rest of Middle East,Region,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,60%,0.6,100%,1.0,-55%,-0.55,2050,2050,Full,A/Z,Renewable electricity share,~10% → 60% by 2030,100% by 2050,,,inputs/mario_inputs/scenario_report_scenarios.csv
WM-S1,WM,Rest of Middle East,Region,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,60%,0.6,100%,1.0,-55%,-0.55,2050,2050,Full,E,CO2 emission intensity (elec.),Reduce by ~55%,Reduce to 0,,,inputs/mario_inputs/scenario_report_scenarios.csv
WM-S1,WM,Rest of Middle East,Region,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,60%,0.6,100%,1.0,-55%,-0.55,2050,2050,Full,,Shock kind in MARIO,Percentage (very large),New Value = 0 (gas/oil),,,inputs/mario_inputs/scenario_report_scenarios.csv
WM-S2,WM,Rest of Middle East,Region,S2,policy_target,National Policy Target,7. MARIO Model Implementation Guide1 7.1 Shock File Structure1,2030|2050|2055,~35%,0.35,53%,0.53,-20%,-0.2,~2055,2055,Policy,A/Z,Renewable electricity share,~35% by 2030 (weighted avg),53% by 2050 (IRENA MENA),,,inputs/mario_inputs/scenario_report_scenarios.csv
WM-S2,WM,Rest of Middle East,Region,S2,policy_target,National Policy Target,7. MARIO Model Implementation Guide1 7.1 Shock File Structure1,2030|2050|2055,~35%,0.35,53%,0.53,-20%,-0.2,~2055,2055,Policy,Y,Solar PV capacity,+130 GW total (Saudi: 58.7 GW solar),200 GW+ by 2035 (IRENA),,,inputs/mario_inputs/scenario_report_scenarios.csv
WM-S2,WM,Rest of Middle East,Region,S2,policy_target,National Policy Target,7. MARIO Model Implementation Guide1 7.1 Shock File Structure1,2030|2050|2055,~35%,0.35,53%,0.53,-20%,-0.2,~2055,2055,Policy,A/Z,Gas electricity share,~70% → ~55% by 2030,~35% by 2050 (transition fuel),,,inputs/mario_inputs/scenario_report_scenarios.csv
WM-S2,WM,Rest of Middle East,Region,S2,policy_target,National Policy Target,7. MARIO Model Implementation Guide1 7.1 Shock File Structure1,2030|2050|2055,~35%,0.35,53%,0.53,-20%,-0.2,~2055,2055,Policy,,Net-zero commitments,UAE/Oman: 2050; SA/Kuwait: 2060,Region net-zero ~2055 avg,,,inputs/mario_inputs/scenario_report_scenarios.csv
WM-S2,WM,Rest of Middle East,Region,S2,policy_target,National Policy Target,7. MARIO Model Implementation Guide1 7.1 Shock File Structure1,2030|2050|2055,~35%,0.35,53%,0.53,-20%,-0.2,~2055,2055,Policy,,Grid carbon intensity,0.27 kgCO2/kWh (UAE 2030),Near-zero by 2050,,,inputs/mario_inputs/scenario_report_scenarios.csv
WM-S2,WM,Rest of Middle East,Region,S2,policy_target,National Policy Target,7. MARIO Model Implementation Guide1 7.1 Shock File Structure1,2030|2050|2055,~35%,0.35,53%,0.53,-20%,-0.2,~2055,2055,Policy,A/Z,Gas A-matrix coefficient,Reduce by ~20%,Reduce by ~55%,,,inputs/mario_inputs/scenario_report_scenarios.csv
WM-S2,WM,Rest of Middle East,Region,S2,policy_target,National Policy Target,7. MARIO Model Implementation Guide1 7.1 Shock File Structure1,2030|2050|2055,~35%,0.35,53%,0.53,-20%,-0.2,~2055,2055,Policy,A/Z,Solar coefficient,Increase by +30% (A-matrix),Increase to 40-50% share,,,inputs/mario_inputs/scenario_report_scenarios.csv
WM-S2,WM,Rest of Middle East,Region,S2,policy_target,National Policy Target,7. MARIO Model Implementation Guide1 7.1 Shock File Structure1,2030|2050|2055,~35%,0.35,53%,0.53,-20%,-0.2,~2055,2055,Policy,,Shock kind in MARIO,Percentage (moderate),Percentage / New Value mix,,,inputs/mario_inputs/scenario_report_scenarios.csv
ZA-S1,ZA,South Africa,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,60%,0.6,100%,1.0,-50%,-0.5,2050,2050,Full,A/Z,Fossil electricity share,50% → 0% (partial by 2030),0% (complete phase-out),,,inputs/mario_inputs/scenario_report_scenarios.csv
ZA-S1,ZA,South Africa,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,60%,0.6,100%,1.0,-50%,-0.5,2050,2050,Full,A/Z,Renewable electricity share,22% → 60% by 2030,100% by 2050,,,inputs/mario_inputs/scenario_report_scenarios.csv
ZA-S1,ZA,South Africa,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,60%,0.6,100%,1.0,-50%,-0.5,2050,2050,Full,A/Z,Coal electricity coefficient,Reduce by 50% in A-matrix,Reduce to 0 in A-matrix,,,inputs/mario_inputs/scenario_report_scenarios.csv
ZA-S1,ZA,South Africa,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,60%,0.6,100%,1.0,-50%,-0.5,2050,2050,Full,A/Z,Gas electricity coefficient,Reduce by 30%,Reduce to 0,,,inputs/mario_inputs/scenario_report_scenarios.csv
ZA-S1,ZA,South Africa,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,60%,0.6,100%,1.0,-50%,-0.5,2050,2050,Full,A/Z,Wind/Solar coefficient,+0.38 share reallocation,+1.0 (absorb all fossil share),,,inputs/mario_inputs/scenario_report_scenarios.csv
ZA-S1,ZA,South Africa,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,60%,0.6,100%,1.0,-50%,-0.5,2050,2050,Full,E,CO2 emission intensity (elec.),Reduce by ~50%,Reduce to 0,,,inputs/mario_inputs/scenario_report_scenarios.csv
ZA-S1,ZA,South Africa,Country,S1,full_decarbonization,Full Decarbonization,100% renewable electricity by 2050 — upper-bound transition shock replacing all fossil generation,2030|2050,60%,0.6,100%,1.0,-50%,-0.5,2050,2050,Full,,Shock kind in MARIO,Percentage / New Value,New Value = 0 (fossils),,,inputs/mario_inputs/scenario_report_scenarios.csv
ZA-S2,ZA,South Africa,Country,S2,policy_target,National Policy Target,3. India1 3.1 Policy Context1,2030|2050,22%,0.22,100%*,1.0,-15%,-0.15,2050,2050,Policy,A/Z,Renewable electricity share,22% by 2030 (IRP 2023),Net-zero electricity by 2050,,,inputs/mario_inputs/scenario_report_scenarios.csv
ZA-S2,ZA,South Africa,Country,S2,policy_target,National Policy Target,3. India1 3.1 Policy Context1,2030|2050,22%,0.22,100%*,1.0,-15%,-0.15,2050,2050,Policy,A/Z,Coal electricity share,~70% in 2025 → ~55% by 2030,Phase-out post 2035; ~0% by 2050,,,inputs/mario_inputs/scenario_report_scenarios.csv
ZA-S2,ZA,South Africa,Country,S2,policy_target,National Policy Target,3. India1 3.1 Policy Context1,2030|2050,22%,0.22,100%*,1.0,-15%,-0.15,2050,2050,Policy,Y,New gas capacity,+7 GW gas by 2030 (IRP 2023),Gradual phase-down 2035–2050,,,inputs/mario_inputs/scenario_report_scenarios.csv
ZA-S2,ZA,South Africa,Country,S2,policy_target,National Policy Target,3. India1 3.1 Policy Context1,2030|2050,22%,0.22,100%*,1.0,-15%,-0.15,2050,2050,Policy,,Solar/Wind addition (GW),+8.1–13.8 GW by 2030,+full capacity for net-zero,,,inputs/mario_inputs/scenario_report_scenarios.csv
ZA-S2,ZA,South Africa,Country,S2,policy_target,National Policy Target,3. India1 3.1 Policy Context1,2030|2050,22%,0.22,100%*,1.0,-15%,-0.15,2050,2050,Policy,E,GHG emissions target,350–420 MtCO2e by 2030,212–428 MtCO2e by 2050 (Act),,,inputs/mario_inputs/scenario_report_scenarios.csv
ZA-S2,ZA,South Africa,Country,S2,policy_target,National Policy Target,3. India1 3.1 Policy Context1,2030|2050,22%,0.22,100%*,1.0,-15%,-0.15,2050,2050,Policy,A/Z,Coal A-matrix coefficient,Reduce by ~15% by 2030,Reduce to 0 by 2050,,,inputs/mario_inputs/scenario_report_scenarios.csv
ZA-S2,ZA,South Africa,Country,S2,policy_target,National Policy Target,3. India1 3.1 Policy Context1,2030|2050,22%,0.22,100%*,1.0,-15%,-0.15,2050,2050,Policy,,Shock kind in MARIO,Percentage (moderate),New Value (net-zero state),,,inputs/mario_inputs/scenario_report_scenarios.csv
